Developer,Commits,twitter_handle
Wladimir J. van der Laan,5300,orionwl
Pieter Wuille,1485,pwuille
Gavin Andresen,1101,gavinandresen
MarcoFalke,766,MarcoFalke
TheBlueMatt,606,TheBlueMatt
jonasschnelli,565,_jonasschnelli_
Cory Fields,559,
Luke-Jr,338,LukeDashjr
jnewbery,289,jfnewbery
non-github-bitcoin,271,
Gregory Maxwell,263,gmaxnull
fanquake,215,fanquake
morcos,209,morcosa
sdaftuar,208,suhasdaftuar
practicalswift,191,practicalswift
jtimon,162,timoncc
ryanofsky,139,russyanofsky
paveljanik,109,
Peter Todd,102,peterktodd
cozz,70,
pstratem,70,
promag,68,
achow101,68,
instagibbs,59,theinstagibbs
MeshCollider,53,MeshCollider
kallewoof,45,
rebroad,35,
muggenhor,34,
satoshinnakamoto,34,
btcdrak,32,
Eric Lombrozo,32,
JeremyRubin,32,
domob1812,31,
dooglus,28,
Michagogo,25,
jl2012,24,
Sjors,20,
NicolasDorier,20,
dexX7,20,
jamesob,19,
wtogami,19,
kazcw,19,
dgenr8,18,
ajtowns,17,
mrbandrews,17,
super3,16,
danra,16,
casey,15,
kdomanski,15,
jimmysong,14,
ENikS,13,
str4d,13,
maaku,12,
mruddy,12,
21E14,11,
nomnombtc,11,
dcousens,11,
droark,11,
codler,10,
wizeman,10,
roques,9,
jmcorgan,9,
JohnDolittle,9,
tjps,9,
rnicoll,9,
mrwhythat,9,
ajweiss,8,
Andreas Schildbach,8,
eklitzke,8,
jordanlewis,8,
joshtriplett,8,
isle2983,8,
devrandom,8,
Jeff Garzik,8,
s-matthew-english,8,
EthanHeilman,8,
AkioNak,7,
Empact,7,
Christewart,7,
mess110,7,
forrestv,7,
freewil,7,
sinetek,7,
celil-kj,7,
jlopp,7,
runeksvendsen,7,
sje397,7,
ashleyholman,6,
dertin,6,
Matoking,6,
jimpo,6,
mgiuca,6,
OttoAllmendinger,6,
vegard,6,
zw,6,
fsb4000,6,
p2k,6,
randy-waterhouse,6,
jrmithdobbs,6,
JoelKatz,6,
alexanderkjeldaas,5,
federicobond,5,
maraoz,5,
mndrix,5,
robbak,5,
r000n,5,
roybadami,5,
vinniefalco,5,
lemzwerg,5,
Whit Jack,5,
accraze,5,
fcicq,5,
gubatron,5,
ptschip,5,
sandakersmann,5,
sipsorcery,5,
rdponticelli,5,
ericshawlinux,5,
251Labs,4,
paraipan,4,
brandondahler,4,
conscott,4,
CryptAxe,4,
DomT4,4,
EricJ2190,4,
hkjn,4,
4tar,4,
jayschwa,4,
JeremyRand,4,
kostaz,4,
greenaddress,4,
mibe,4,
pedrobranco,4,
randolf,4,
UdjinM6,4,
vsrinivas,4,
arowser,4,
globalcitizen,4,
grimd34th,4,
murrayn,4,
keystrike,4,
laudaa,4,
Xekyo,4,
donaloconnor,4,
unsystemizer,4,
akx20000a,3,
bytting,3,
davecgh,3,
BitonicEelis,3,
ers35,3,
Flowdalic,3,
ian-kelling,3,
jeffrade,3,
jonls,3,
jonasnick,3,
Krellan,3,
ldenman,3,
ChoHag,3,
pinheadmz,3,
Mirobit,3,
Mike Hearn,3,
prusnak,3,
richardkiss,3,
RHavar,3,
SergioDemianLerner,3,
shaulkf,3,
spencerlievens,3,
tholenst,3,
afk11,3,
Tyler-Hardin,3,
flack,3,
lpescher,3,
al42and,3,
cdecker,3,
dajohi,3,
posita,3,
PRabahy,3,
djpnewton,3,
imharrywu,3,
aarongolliver,2,
axvr,2,
alexwaters,2,
AliceWonderMiscreations,2,
kekimusmaximus,2,
negedzuregal,2,
AmirAbrams,2,
anditto,2,
bencxr,2,
kanzure,2,
dongcarl,2,
CAFxX,2,
cbeams,2,
chrisgavin,2,
cdhowie,2,
colindean,2,
esotericnonsense,2,
bytemaster,2,
David Harding,2,
enmaku,2,
spiechu,2,
xslidian,2,
dlitz,2,
nobled,2,
Mischi,2,
Flavien,2,
gdm85,2,
haakonn,2,
hsjoberg,2,
welshjf,2,
wjx,2,
joaopaulofonseca,2,
jonathancross,2,
ken2812221,2,
kevcooper,2,
LongShao007,2,
lucayepa,2,
mariodian,2,
mhanne,2,
martinus,2,
mitchellcash,2,
musalbas,2,
nathaniel-mahieu,2,
nbenoit,2,
pavlosantoniou,2,
robvanmieghem,2,
rustyrussell,2,
maqifrnswa,2,
sime,2,
sgimenez,2,
drizzt,2,
thofmann,2,
wbnns,2,
jb55,2,
pirapira,2,
aideca,2,
cardpuncher,2,
constantined,2,
crowning-,2,
fivepiece,2,
imwuzhh,2,
kobake,2,
phelixbtc,2,
ayeowch,2,
knocte,2,
apoelstra,2,
benhc123,2,
Derek701,2,
karel-3d,2,
532479301,1,
enterprisey,1,
AbrahamJewowich,1,
DeftNerd,1,
agl,1,
aitorpazos,1,
OmeGak,1,
Alex-van-der-Peet,1,
AlexJeng,1,
alexreg,1,
alfiedotwtf,1,
ali1234,1,
AllanDoensen,1,
Altoidnerd,1,
Altoidnerd1,1,
amiryal,1,
andersoyvind,1,
Elbandi,1,
Ov3rlo4d,1,
anddam,1,
s3erios,1,
aalness,1,
iongchun,1,
Arnavion,1,
arnuschky,1,
bardiharborow,1,
BitcoinPRReadingGroup,1,
blakejakopovic,1,
carryforward,1,
brianmcmichael,1,
jcalvinowens,1,
calvintam,1,
kr105,1,
coblee,1,
catilac,1,
carnesen,1,
chriswheeler,1,
cbarcenas,1,
BitsInMyBlood,1,
sarchar,1,
Ciemon,1,
clemtaylor,1,
pygeek,1,
CohibAA,1,
CryptoDJ,1,
infertux,1,
dagurval,1,
daira,1,
dbolser,1,
witten,1,
dlo,1,
da2x,1,
dholbert,1,
DaveFromBinary,1,
DavidGriffith,1,
davidsgrogan,1,
dserrano5,1,
CypherGrue,1,
diegoviola,1,
rex4539,1,
dimitris-t,1,
onlyjob,1,
djp3,1,
drewx2,1,
dusty-wil,1,
Earlz,1,
elliotolds,1,
esbullington,1,
lachesis,1,
erkmos,1,
MCFX2,1,
eordano,1,
heyrhett,1,
Unreal89,1,
FelixWeis,1,
fwolfst,1,
fametrano,1,
codeboost,1,
makevoid,1,
francis16,1,
bitcoinsSG,1,
gtsui,1,
gwillen,1,
haltingstate,1,
heath,1,
hectorj,1,
HostFat,1,
iangcarroll,1,
irvingruan,1,
isghe,1,
ivanpustogarov,1,
ivdsangen,1,
jl2035,1,
jackycjh,1,
jburkle,1,
jameshilliard,1,
jamesmacwhite,1,
jsarenik,1,
malleor,1,
jaromil,1,
jarret,1,
jasonlewicki,1,
bitspill,1,
jharvell,1,
ius,1,
jhenninger,1,
kanigsson,1,
ethernomad,1,
Aesti,1,
haight6716,1,
lian,1,
jyap808,1,
juscamarena,1,
kewde,1,
KibbledJiveElkZoo,1,
KrzysiekJ,1,
coinables,1,
wraith7,1,
L2G,1,
larsr,1,
,,
,,
